bookingID,Label
0,Safe
1,Not safe
2,Safe
3,Not safe
4,Safe
5,Safe
6,Safe
7,Safe
8,Safe
9,Safe
10,Safe
11,Safe
12,Safe
13,Not safe
14,Safe
15,Safe
16,Safe
17,Not safe
18,Safe
19,Safe
20,Safe
21,Safe
22,Safe
23,Safe
24,Safe
25,Safe
26,Safe
27,Safe
28,Not safe
29,Safe
30,Safe
31,Safe
32,Not safe
33,Safe
34,Not safe
35,Safe
36,Safe
37,Safe
38,Safe
39,Not safe
40,Safe
41,Safe
42,Safe
43,Safe
44,Not safe
45,Safe
46,Safe
47,Safe
48,Safe
49,Safe
50,Safe
51,Safe
52,Safe
53,Safe
54,Not safe
55,Safe
56,Not safe
57,Safe
58,Safe
59,Safe
60,Safe
61,Safe
62,Safe
63,Not safe
64,Safe
65,Safe
66,Safe
67,Not safe
68,Safe
69,Safe
70,Safe
71,Safe
72,Safe
73,Safe
74,Not safe
75,Safe
76,Safe
77,Not safe
78,Safe
79,Safe
80,Not safe
81,Safe
82,Safe
83,Safe
84,Safe
85,Safe
86,Not safe
87,Not safe
88,Safe
89,Safe
90,Safe
91,Safe
92,Safe
93,Safe
94,Not safe
95,Safe
96,Safe
97,Safe
98,Safe
99,Safe
100,Safe
101,Not safe
102,Safe
103,Safe
104,Not safe
105,Safe
106,Not safe
107,Safe
108,Safe
109,Safe
110,Not safe
111,Safe
112,Safe
113,Safe
114,Safe
115,Safe
116,Safe
117,Safe
118,Safe
119,Not safe
120,Safe
121,Safe
122,Safe
123,Not safe
124,Safe
125,Safe
126,Safe
127,Safe
128,Safe
129,Safe
130,Safe
131,Safe
132,Safe
133,Safe
134,Safe
135,Safe
136,Safe
137,Safe
138,Not safe
139,Safe
140,Not safe
141,Safe
142,Safe
143,Safe
144,Not safe
145,Not safe
146,Safe
147,Not safe
148,Safe
149,Safe
150,Not safe
151,Not safe
152,Not safe
153,Safe
154,Safe
155,Safe
156,Safe
157,Safe
158,Safe
159,Safe
160,Safe
161,Not safe
162,Not safe
163,Safe
164,Safe
165,Not safe
166,Safe
167,Safe
168,Safe
169,Safe
170,Safe
171,Safe
172,Not safe
173,Safe
174,Safe
175,Safe
176,Safe
177,Safe
178,Safe
179,Safe
180,Not safe
181,Safe
182,Safe
183,Not safe
184,Safe
185,Safe
186,Not safe
187,Safe
188,Safe
189,Safe
190,Safe
191,Safe
192,Not safe
193,Not safe
194,Safe
195,Safe
196,Not safe
197,Safe
198,Safe
199,Safe
200,Safe
201,Safe
202,Safe
203,Safe
204,Safe
205,Safe
206,Safe
207,Safe
208,Safe
209,Safe
210,Not safe
211,Safe
212,Safe
213,Safe
214,Not safe
215,Safe
216,Not safe
217,Safe
218,Safe
219,Safe
220,Safe
221,Safe
222,Not safe
223,Safe
224,Safe
225,Not safe
226,Safe
227,Not safe
228,Not safe
229,Not safe
230,Not safe
231,Not safe
232,Not safe
233,Not safe
234,Safe
235,Not safe
236,Safe
237,Safe
238,Not safe
239,Not safe
240,Not safe
241,Safe
242,Not safe
243,Safe
244,Safe
245,Not safe
246,Safe
247,Not safe
248,Safe
249,Not safe
250,Safe
251,Safe
252,Not safe
253,Not safe
254,Safe
255,Not safe
256,Not safe
257,Not safe
258,Not safe
259,Not safe
260,Not safe
261,Safe
262,Not safe
263,Safe
264,Safe
265,Safe
266,Safe
267,Safe
268,Safe
269,Safe
270,Safe
271,Safe
272,Safe
273,Safe
274,Safe
275,Safe
276,Safe
277,Safe
278,Safe
279,Not safe
280,Safe
281,Not safe
282,Safe
283,Safe
284,Safe
285,Not safe
286,Safe
287,Not safe
288,Safe
289,Safe
290,Not safe
291,Safe
292,Safe
293,Safe
294,Safe
295,Safe
296,Not safe
297,Safe
298,Safe
299,Safe
300,Safe
301,Safe
302,Safe
303,Safe
304,Safe
305,Safe
306,Safe
307,Safe
308,Safe
309,Safe
310,Safe
311,Safe
312,Safe
313,Safe
314,Safe
315,Not safe
316,Safe
317,Safe
318,Safe
319,Safe
320,Safe
321,Safe
322,Safe
323,Safe
324,Safe
325,Not safe
326,Safe
327,Safe
328,Safe
329,Safe
330,Safe
331,Safe
332,Safe
333,Not safe
334,Safe
335,Safe
336,Safe
337,Safe
338,Safe
339,Safe
340,Not safe
341,Safe
342,Safe
343,Safe
344,Safe
345,Safe
346,Not safe
347,Safe
348,Safe
349,Safe
350,Safe
351,Not safe
352,Not safe
353,Safe
354,Not safe
355,Not safe
356,Safe
357,Safe
358,Safe
359,Safe
360,Safe
361,Safe
362,Safe
363,Safe
364,Safe
365,Safe
366,Safe
367,Safe
368,Safe
369,Safe
370,Safe
371,Not safe
372,Safe
373,Safe
374,Not safe
375,Safe
376,Safe
377,Safe
378,Safe
379,Safe
380,Safe
381,Not safe
382,Not safe
383,Safe
384,Safe
385,Safe
386,Not safe
387,Safe
388,Safe
389,Safe
390,Safe
391,Safe
392,Safe
393,Safe
394,Safe
395,Safe
396,Safe
397,Not safe
398,Safe
399,Safe
400,Safe
401,Safe
402,Safe
403,Safe
404,Safe
405,Safe
406,Not safe
407,Safe
408,Not safe
409,Safe
410,Safe
411,Safe
412,Safe
413,Safe
414,Not safe
415,Safe
416,Safe
417,Safe
418,Safe
419,Safe
420,Safe
421,Safe
422,Safe
